Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Grave Grabbers;Pragmatic Play;Видео-слоты;20;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;no;yes
2 Million B.C. Slot;Betsoft;Видео-слоты;30;5;1;5;500;91.94%;yes;no;no;yes;yes;yes;yes
A Day at the Derby;Rival;Видео-слоты;20;5;1;10;2500;94%;yes;no;yes;yes;yes;yes;yes
Paraнетrmal Activity Slot;iSoftBet;Видео-слоты;243;5;0;0;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Alice in Wonderland;Slotland Entertainment;Прогрессивные слоты;30;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Cleopatra II Slot;IGT (WagerWorks);Видео-слоты;20;5;1;5;10000;95.13%;no;no;yes;yes;yes;yes;yes
The Three Musketeers Slot;Quickspin;Видео-слоты;20;5;1;1;150;96.64%;no;no;yes;yes;yes;yes;yes
The Glam Life Slot;Betsoft;Прогрессивные слоты;25;5;1;5;Прогрессивный;95.5%;yes;yes;no;no;no;yes;yes
Electric Sam Slot;Elk Studios;Видео-слоты;243;5;100;100;300;96%;no;no;yes;yes;no;yes;yes
Fire Flies;Amaya (Chartwell);Видео-слоты;25;5;1;1;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Boy King's Treasure;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Mr. Vegas Slot;Betsoft;Прогрессивные слоты;30;5;1;5;Прогрессивный;96.5%;yes;yes;no;no;no;no;yes
Aztec Treasures Slot;Betsoft;Видео-слоты;30;5;1;5;80;95%;yes;no;yes;no;no;yes;yes
Enchanted Slot;Betsoft;Видео-слоты;30;5;1;5;5000;92%;yes;no;no;no;no;no;yes
The Snake Charmer Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.35%;no;no;yes;yes;yes;no;yes
Ocean Dreams;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Cleo - Queen of Egypt;Cryptologic (WagerLogic);Прогрессивные слоты;9;5;1;1;Прогрессивный;95.2%;no;yes;yes;yes;yes;yes;no
Fruitoids Slot;Yggdrasil Gaming;Видео-слоты;25;5;1;1;500;96.7%;no;no;no;no;yes;yes;yes
Owl Eесть Slot;NextGen Gaming;Видео-слоты;50;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Lucky Last;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Masques of San Marco;IGT (WagerWorks);Видео-слоты;40;5;1;1;5000;95.3%;yes;no;yes;yes;yes;no;yes
Wolf Run Slot;IGT (WagerWorks);Видео-слоты;40;5;1;1;1000;94.98%;no;no;yes;yes;yes;no;yes
Warlock's Spell;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Digging For Diнетsaurs Slot;Saucify (BetOnSoft);Видео-слоты;9;5;1;5;8000;Неизвестно;no;no;yes;yes;yes;yes;yes
Astral Luck Slot;Rival;Видео-слоты;50;5;1;10;7500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Thrill Seekers Slot;Playtech;Видео-слоты;50;5;1;1;10000;95.3%;yes;no;yes;yes;yes;yes;yes
Billyonaire;Amatic Industries;Видео-слоты;40;5;1;75;10000;Неизвестно;yes;no;yes;yes;yes;no;yes
CasiнетMeister Slot;NextGen Gaming;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;no
Mona Lisa Jewels;iSoftBet;Прогрессивные слоты;25;5;1;10;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Merlin's Magic Respins Slot;NextGen Gaming;Видео-слоты;50;5;1;1;1000;95.32%;yes;no;yes;yes;yes;yes;yes
Rain Dance Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Pandamania;NextGen Gaming;Видео-слоты;25;5;0;0;0;Неизвестно;yes;no;yes;yes;yes;yes;yes
Tales Of Egypt;Pragmatic Play;Видео-слоты;20;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Nirvana Slot;Yggdrasil Gaming;Видео-слоты;20;5;1;1;250;96.2%;no;no;yes;yes;yes;no;yes
Heavy Metal Warriors Slot;iSoftBet;Видео-слоты;243;5;1;5;10;Неизвестно;yes;no;yes;yes;yes;no;yes
Pamplona Slot;IGT (WagerWorks);Видео-слоты;1024;5;50;50;500;96%;no;no;yes;yes;yes;yes;yes
Cleopatra Plus;IGT (WagerWorks);Видео-слоты;40;5;1;0;1500;Неизвестно;yes;Неизвестно;yes;yes;yes;yes;yes
Gold Beard;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;Неизвестно;Неизвестно
Prissy Princess Slot;Play\'n GO;Видео-слоты;20;5;0;0;10;95.56%;no;Неизвестно;yes;yes;yes;no;yes
Druidess Gold;Amaya (Chartwell);Видео-слоты;1296;8;1;1;500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Football Rules Slot;Playtech;Видео-слоты;25;5;1;10;10000;97.1%;yes;no;yes;yes;yes;yes;yes
Cash Stampede Slot;NextGen Gaming;Видео-слоты;243;5;1;1;100;95.27%;no;no;yes;yes;yes;yes;yes
Dracula's Blood Bank Slot;1x2Gaming;Видео-слоты;9;5;1;5;500;Неизвестно;no;no;yes;no;yes;no;yes
Well of Wonders Slot;Thunderkick;Видео-слоты;0;0;0;0;5;Неизвестно;no;no;yes;yes;yes;yes;yes
Diamond Dozen Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Kobushi Slot;iSoftBet;Прогрессивные слоты;30;5;1;5;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Cash Spin;Bally;Видео-слоты;243;5;1;1;5;94.15%;yes;no;yes;yes;yes;yes;yes
Babushka;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Temple Cats Slot;Endorphina;Видео-слоты;10;5;1;100;5000;96%;no;no;yes;yes;yes;no;yes
Space Race Slot;Play\'n GO;Видео-слоты;20;5;1;5;5000;94%;yes;no;yes;yes;yes;no;yes
Hotline Slot;NetEnt;Видео-слоты;30;5;1;10;200;96.7%;Неизвестно;no;yes;yes;yes;no;yes
Twin Spin Deluxe Slot;NetEnt;Видео-слоты;0;5;1;10;10000;96.6%;no;no;no;no;yes;no;no
Finn and the Swirly Spin Slot;NetEnt;Видео-слоты;10;5;1;10;500;Неизвестно;no;no;yes;yes;yes;no;yes
Arctic Agents;Microgaming;Видео-слоты;9;5;1;10;6;Неизвестно;no;no;yes;yes;yes;yes;yes
The Heat is On;Microgaming;Видео-слоты;45;5;1;10;100;Неизвестно;no;no;yes;yes;yes;no;yes
Electric Diva;Microgaming;Видео-слоты;40;5;1;5;120;Неизвестно;yes;no;yes;yes;yes;yes;yes
Liquid Gold;Microgaming;Видео-слоты;20;5;1;10;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Shanghai Beauty;Microgaming;Видео-слоты;9;5;1;5;100;Неизвестно;no;no;yes;yes;Неизвестно;no;yes
Disco Night Fright;Microgaming;Видео-слоты;243;5;1;10;1500;95.36%;no;no;yes;yes;yes;no;yes
Genies Gems;Microgaming;Видео-слоты;5;5;1;1;10000;95.10%;no;no;no;no;yes;no;no
Jungle Spirit: Call of the Уайлд Slot;NetEnt;Видео-слоты;243;5;1;5;150;96.47%;no;no;yes;yes;yes;yes;yes
Wolf Cub Slot;NetEnt;Видео-слоты;20;5;1;10;2000;96.34%;yes;no;yes;yes;yes;yes;yes
Sunshine Reef;Microgaming;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;no;yes;yes;no
Peek-a-Boo 5 Reels;Microgaming;Классические слоты;40;5;1;1;10;Неизвестно;no;no;no;yes;yes;no;yes
Sunquest Slot;Microgaming;Видео-слоты;9;5;1;1;10000;96.92%;no;no;yes;yes;yes;yes;no
Conga Party Slot;Microgaming;Видео-слоты;30;5;1;1;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Bollywood Story Slot;NetEnt;Видео-слоты;9;5;1;10;1000;96.1%;no;no;yes;yes;yes;no;yes
Bob: The Epic Viking Quest for the Sword of Tullemutt;NetEnt;Видео-слоты;25;5;1;1;7500;98%;yes;no;yes;yes;yes;yes;yes
Crusade of Fortune Slot;NetEnt;Видео-слоты;20;5;1;20;5000;95.9%;yes;no;yes;yes;yes;yes;yes
Harvey's Slot;Microgaming;Видео-слоты;25;5;1;20;2000;95.97%;no;no;yes;yes;yes;yes;yes
Sovereign of the Seven Seas Slot;Microgaming;Видео-слоты;40;5;1;5;Неизвестно;96%;yes;no;yes;yes;yes;yes;yes
K9 Capers;Microgaming;Видео-слоты;30;5;1;20;6000;Неизвестно;no;no;yes;yes;yes;yes;no
Witch Dr;Microgaming;Видео-слоты;20;5;1;20;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Lucky Shot;Microgaming;Видео-слоты;20;5;1;10;15000;Неизвестно;yes;no;no;yes;yes;yes;yes
Reel Baron;Microgaming;Видео-слоты;20;5;1;10;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
CashOcciнет;Microgaming;Видео-слоты;30;5;1;20;5000;96.06%;no;no;yes;yes;yes;yes;yes
Hot Air;Microgaming;Видео-слоты;30;5;1;10;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Monster Meteors;Microgaming;Видео-слоты;25;5;1;10;3000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Lumber Cats;Microgaming;Видео-слоты;20;5;1;10;4000;Неизвестно;no;no;yes;yes;yes;yes;yes
My Slot;Microgaming;Видео-слоты;9;5;1;5;750;95.05%;no;no;yes;yes;yes;yes;yes
Pedal Power;Microgaming;Видео-слоты;15;5;1;20;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
Steinfest;Microgaming;Видео-слоты;9;5;1;10;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Stunt Pilot;Microgaming;Видео-слоты;30;5;1;10;4000;Неизвестно;no;no;yes;yes;yes;yes;yes
Wealth Spa;Microgaming;Видео-слоты;20;5;1;20;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Winter Gold;Microgaming;Видео-слоты;15;5;1;20;1250;Неизвестно;yes;no;yes;yes;yes;yes;yes
Wooly World;Microgaming;Видео-слоты;20;5;1;20;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Porky Payout;Microgaming;Видео-слоты;20;5;1;20;5000;Неизвестно;yes;no;yes;yes;yes;yes;no
Sneak a Peek Hunky Heroes;Microgaming;Видео-слоты;20;5;1;20;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
Jonny Specter;Microgaming;Видео-слоты;20;5;1;5;3000;Неизвестно;no;no;yes;yes;yes;yes;yes
Jolly Jester;Microgaming;Видео-слоты;25;5;1;5;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Power Spins Sonic 7s;Microgaming;Видео-слоты;9;5;1;10;10000;Неизвестно;no;no;yes;yes;yes;yes;no
The Grand Journey;Microgaming;Видео-слоты;30;5;1;20;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Dragon Lady;Microgaming;Видео-слоты;40;5;1;10;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Dragons Loot;Microgaming;Видео-слоты;25;5;1;20;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Kung Fu Monkey;Microgaming;Видео-слоты;15;5;1;20;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Robot Butler;Microgaming;Видео-слоты;20;5;1;20;1250;Неизвестно;yes;no;yes;yes;yes;yes;yes
Lucky Eggsplorer;Microgaming;Видео-слоты;30;5;1;10;3000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Summer Holiday;Microgaming;Видео-слоты;100;5;1;10;400;Неизвестно;no;no;yes;yes;yes;yes;yes
Sneak a Peek Planet Exotica;Microgaming;Видео-слоты;15;5;1;20;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Tribal Treasure;Microgaming;Видео-слоты;25;5;1;20;900;Неизвестно;no;no;yes;yes;yes;yes;yes
Pharaoh's Tomb;Microgaming;Видео-слоты;20;5;1;20;3000;Неизвестно;yes;no;yes;yes;yes;yes;no
Days of the Tsar;Microgaming;Видео-слоты;25;5;1;20;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Sunset Showdown;Microgaming;Видео-слоты;25;5;1;10;1250;Неизвестно;yes;no;yes;yes;yes;yes;yes
Double O' Cash;Microgaming;Видео-слоты;20;5;1;10;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
First Past the Post;Microgaming;Видео-слоты;25;5;1;20;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Fearless Frederick;Microgaming;Видео-слоты;30;5;1;10;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
The Argyle Open;Microgaming;Видео-слоты;40;5;1;10;500;96%;yes;no;yes;yes;yes;yes;yes
Magic Boxes;Microgaming;Видео-слоты;20;5;1;20;Неизвестно;96.07%;no;no;yes;yes;yes;no;yes
Spectacular Wheel of Wealth;Microgaming;Классические слоты;1;3;1;2;5000;96.32%;yes;no;yes;no;yes;yes;no
In It to Win It;Microgaming;Видео-слоты;100;5;1;5;10;96%;no;no;yes;yes;yes;no;yes
Journey of the Sun;Microgaming;Видео-слоты;25;5;1;10;2000;95.88%;yes;no;yes;yes;yes;no;yes
Venetian Rose;NextGen Gaming;Видео-слоты;25;5;1;1;3000;95.08%;no;no;yes;yes;yes;yes;yes
Vinyl Countdown;Microgaming;Видео-слоты;9;5;1;1;1000;95.56%;no;no;yes;yes;yes;yes;no
Monster Mania;Microgaming;Видео-слоты;9;5;1;1;1000;95.5%;no;no;yes;yes;yes;yes;no
Reel Thunder;Microgaming;Видео-слоты;9;5;1;1;10000;96.94%;no;no;yes;yes;yes;yes;no
Win Sum Dim Sum Slot;Microgaming;Видео-слоты;9;5;1;5;100;Неизвестно;no;no;yes;yes;yes;no;yes
Gothic;Microgaming;Видео-слоты;243;5;1;10;1250;95.33%;yes;no;yes;yes;yes;yes;no
Fishy Fortune;NetEnt;Прогрессивные слоты;10;5;1;1;Прогрессивный;95.4%;yes;yes;yes;yes;yes;yes;yes
Oil Mania Slot;NextGen Gaming;Видео-слоты;25;5;1;1;2500;95.5%;no;no;yes;yes;yes;no;yes
Super Nudge 6000;NetEnt;Видео-слоты;5;9;1;10;6000;96.8%;no;no;no;no;yes;no;no
Path of the Wizard;Microgaming;Видео-слоты;25;5;1;10;2500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Phantom Cash Slot;Microgaming;Видео-слоты;25;5;1;20;2500;96.41%;no;no;yes;yes;yes;yes;yes
Steam Punk Heroes Slot;Microgaming;Видео-слоты;25;5;1;20;2000;95.88%;no;no;yes;yes;yes;yes;yes
Phoenix and the Dragon;Microgaming;Видео-слоты;25;5;1;20;750;Неизвестно;yes;no;yes;yes;no;yes;yes
Sassy Bingo;Microgaming;Видео-слоты;9;5;1;1;5000;Неизвестно;yes;no;yes;no;yes;yes;no
Golden Oasis;PartyGaming;Видео-слоты;9;5;1;1;Прогрессивный;95.5%;yes;no;yes;yes;yes;no;no
Win Big;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Funky Fruits Farm;Playtech;Видео-слоты;20;5;1;1;10000;92.07%;yes;no;yes;yes;yes;yes;yes
Cosmic Invaders;Microgaming;Видео-слоты;30;5;1;10;1500;Неизвестно;yes;no;yes;yes;yes;no;yes
Wu Long Slot;Playtech;Видео-слоты;25;5;1;1;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
King Kong Slot;Playtech;Видео-слоты;20;5;1;1;3000;Неизвестно;yes;no;yes;yes;yes;no;yes
Ace Ventura Slot;Playtech;Видео-слоты;243;5;1;1;200;Неизвестно;no;no;yes;yes;yes;yes;yes
Jade Magician;Play\'n GO;Видео-слоты;15;5;1;5;2500;Неизвестно;no;no;yes;yes;yes;no;yes
Rome & Egypt;WMS (Williams Interactive);Видео-слоты;50;5;1;1;500;96%;no;no;yes;no;yes;yes;yes
Rango;iSoftBet;Прогрессивные слоты;25;5;1;10;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Cherry Love;Playtech;Видео-слоты;30;5;1;1;4000;Неизвестно;no;no;yes;yes;yes;yes;yes
Dragons Inferнет;WMS (Williams Interactive);Видео-слоты;30;5;1;1;1500;Неизвестно;yes;no;yes;yes;yes;no;no
Ocean Oddities;Real Time Gaming;Видео-слоты;25;5;1;1;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Jackpot Giant Slot;Playtech;Прогрессивные слоты;50;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Dolphin's Pearl Deluxe Slot;нетvomatic;Видео-слоты;10;5;1;1;9000;96.17%;no;no;yes;yes;yes;yes;yes
Beetle Mania Deluxe Slot;нетvomatic;Видео-слоты;10;5;1;200;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Siberian Siren Slot;Amaya (Chartwell);Видео-слоты;40;5;1;1;50000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Weekend in Vegas Slot;Betsoft;Видео-слоты;243;5;1;5;300;Неизвестно;yes;no;yes;yes;yes;yes;yes
Wolfpack Pays Slot;NextGen Gaming;Видео-слоты;243;5;1;1;800;97.75;no;no;yes;no;yes;no;yes
World of Oz Slot;Rival;Видео-слоты;50;5;1;10;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Bewitched;iSoftBet;Прогрессивные слоты;15;5;1;10;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Miss Kitty;Aristocrat;Видео-слоты;50;5;1;1;100;94.94%;yes;no;yes;yes;yes;yes;yes
In Bloom Slot;IGT (WagerWorks);Видео-слоты;40;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Sam on the Beach Slot;Elk Studios;Видео-слоты;243;5;0;0;500;96.3%;no;no;yes;yes;yes;no;yes
Camper's Cash;NuWorks;Прогрессивные слоты;9;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Luchadora Slot;Thunderkick;Видео-слоты;30;5;0;0;Неизвестно;96.2%;no;no;yes;yes;yes;yes;yes
The Spin Lab Slot;NextGen Gaming;Видео-слоты;25;5;1;1;1000;95.94%;yes;no;yes;yes;yes;yes;yes
Joker Jester;NextGen Gaming;Видео-слоты;20;5;1;1;500;Неизвестно;yes;no;yes;yes;yes;yes;no
Elemental 7;Saucify (BetOnSoft);Видео-слоты;10;5;1;5;250;Неизвестно;no;no;yes;yes;yes;yes;yes
Plenty O' Fortune Slot;Playtech;Видео-слоты;20;5;1;1;500;Неизвестно;yes;no;yes;yes;no;yes;yes
Spell Of Odin Slot;2 By 2 Gaming;Видео-слоты;25;5;1;20;800;Неизвестно;no;no;yes;yes;yes;yes;yes
Le Chocolatier Slot;SkillOnNet;Видео-слоты;20;5;1;3;1500;Неизвестно;yes;no;no;yes;yes;yes;no
Hot Wheels;SkillOnNet;Видео-слоты;20;5;1;3;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Diamond Dragon;Rival;Видео-слоты;50;5;5;0;600;Неизвестно;no;no;yes;yes;yes;yes;yes
The Three Stooges Brideless Groom Slot;Real Time Gaming;Видео-слоты;33;5;1;1;3333;Неизвестно;yes;no;yes;yes;yes;no;yes
Gorilla Chief 2 Slot;WMS (Williams Interactive);Видео-слоты;50;5;1;1;150;92.02%;no;no;yes;yes;yes;no;yes
Imperial Wars Slot;EGT Interactive;Видео-слоты;20;5;1;20;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Lancelot Slot;WMS (Williams Interactive);Видео-слоты;40;5;1;1;500;92.02%;no;no;yes;yes;yes;yes;yes
Max Cash Slot;Saucify (BetOnSoft);Видео-слоты;50;5;1;5;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Windy Farm;Rival;Видео-слоты;50;5;1;10;500;Неизвестно;no;no;yes;no;yes;yes;yes
Ninja Master Slot;SkillOnNet;Видео-слоты;20;5;1;5;1500;95.05%;no;no;yes;no;yes;yes;yes
Grandma's Attic;Rival;Видео-слоты;15;5;1;5;7500;97%;yes;no;yes;yes;yes;yes;yes
Cash Wizard;Bally;Видео-слоты;30;5;1;1;50;93.99%;yes;no;yes;yes;yes;yes;yes
Psychedelic Sixties;Rival;Видео-слоты;20;5;1;10;2000;96%;yes;no;yes;yes;yes;yes;yes
Gold Strike;Games Warehouse;Видео-слоты;20;5;1;1;Неизвестно;Неизвестно;yes;no;yes;yes;yes;no;Неизвестно
Sweet Success;Saucify (BetOnSoft);Видео-слоты;50;5;1;5;8000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Perfect Date Slot;Saucify (BetOnSoft);Видео-слоты;30;5;1;10;7000;Неизвестно;no;no;yes;yes;yes;yes;yes
Irish Eесть 2 Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
The Epic Journey Slot;Quickspin;Видео-слоты;100;15;1;1;500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Costume Party;Rival;Видео-слоты;3;3;1;3;5400;Неизвестно;no;no;yes;no;yes;no;Неизвестно
Уайлд Carnival;Rival;Видео-слоты;50;5;1;10;7000;Неизвестно;yes;no;yes;yes;yes;no;yes
High Fashion Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Gunslinger Slot;Play\'n GO;Прогрессивные слоты;25;5;1;5;Прогрессивный;96%;yes;yes;yes;yes;yes;no;yes
Reel Fish;Cayetaнет Gaming;Видео-слоты;25;5;1;1;1000;95.10%;yes;no;yes;yes;yes;yes;yes
Hidden Valley Slot;Quickspin;Видео-слоты;40;5;1;1;300;Неизвестно;no;no;yes;yes;yes;yes;yes
Aloha Island Slot;Bally;Видео-слоты;50;5;1;1;50;94.02%;no;no;yes;yes;yes;no;yes
Sevens High Slot;Quickspin;Видео-слоты;25;5;1;1;500;96.50%;no;no;yes;yes;yes;no;yes
Firestorm Slot;Quickspin;Видео-слоты;25;5;1;1;500;95.57%;no;no;yes;yes;yes;yes;yes
Manic Millions;NextGen Gaming;Видео-слоты;25;5;1;0;1000;95.24%;no;no;yes;yes;yes;no;yes
Riches of the Sea;2 By 2 Gaming;Видео-слоты;20;5;1;5;750;96%;no;no;yes;yes;yes;yes;yes
Streak of Luck;Playtech;Прогрессивные слоты;50;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Big Ben;Aristocrat;Видео-слоты;25;5;1;1;30000;Неизвестно;no;no;yes;yes;yes;yes;yes
Ocean Treasure Slot;Rival;Видео-слоты;15;5;1;5;5000;96%;yes;no;yes;yes;yes;yes;yes
Winter Wonders Slot;Rival;Видео-слоты;15;5;1;5;5000;95%;no;no;yes;yes;yes;yes;yes
Fantasy Fortune Slot;Rival;Видео-слоты;20;5;1;10;5000;96%;yes;no;yes;yes;yes;yes;yes
The Lab Slot;Elk Studios;Видео-слоты;15;5;1;1;1000;96.30%;no;Неизвестно;yes;yes;no;yes;yes
Swinging Sweethearts Slot;Rival;Видео-слоты;50;5;1;10;9999;Неизвестно;no;no;yes;yes;yes;yes;yes
Leonardo's Loot Slot;Rival;Видео-слоты;50;5;0;0;0;Неизвестно;Неизвестно;no;yes;Неизвестно;yes;yes;yes
Ultra Hot Deluxe Slot;нетvomatic;Классические слоты;5;3;4;2000;3000;95.17%;no;no;no;no;yes;yes;no
Eastern Dragon;NextGen Gaming;Видео-слоты;20;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;yes;yes
Jack's Beanstalk;NextGen Gaming;Видео-слоты;25;5;1;1;2500;95.45%;no;no;yes;yes;yes;yes;yes
Transylvania;Pragmatic Play;Видео-слоты;20;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Leprechaun Goes to Hell Slot;Play\'n GO;Видео-слоты;25;5;1;1;7;96.54%;yes;no;yes;yes;yes;yes;yes
Уайлд Toro Slot;Elk Studios;Видео-слоты;178;5;1;0;100;96.4%;yes;no;yes;no;yes;no;yes
Munchers Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;no;yes
Jolly Roger Slot;Play\'n GO;Видео-слоты;15;5;1;5;10000;95%;yes;no;yes;yes;yes;yes;no
Buffalo Blitz;Playtech;Видео-слоты;4096;5;0;0;300;Неизвестно;no;no;yes;yes;yes;yes;yes
Tropical Holiday Slot;Play\'n GO;Прогрессивные слоты;25;5;1;5;Прогрессивный;91.9%;yes;yes;yes;yes;yes;no;yes
Superman: Last Son of Krypton Slot;Amaya (Chartwell);Видео-слоты;25;5;1;5;25000;Неизвестно;no;no;yes;yes;yes;yes;yes
Spud O'Reilly's Crops of Gold;Playtech;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Mighty Kong Slot;Pragmatic Play;Видео-слоты;50;5;1;10;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Holiday Season Slot;Play\'n GO;Видео-слоты;10;5;1;5;1000;96.51%;no;no;yes;yes;yes;no;yes
Haunted Night Slot;Genesis Gaming;Видео-слоты;243;5;1;5;1000;Неизвестно;yes;no;yes;yes;yes;no;yes
Viking Runecraft Slot;Play\'n GO;Видео-слоты;1;7;1;10;100;Неизвестно;yes;no;yes;yes;yes;yes;yes
Daytona Gold Slot;Pragmatic Play;Видео-слоты;15;5;1;1;12000;Неизвестно;yes;no;yes;yes;yes;no;yes
Murder Mystery;BGO Studios (BGO Entertainment);Видео-слоты;40;5;1;1;750;96.5%;yes;no;yes;yes;yes;yes;yes
Illusions 2;iSoftBet;Видео-слоты;30;5;1;10;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Sugar Trail Slot;Quickspin;Видео-слоты;40;5;1;1;5;Неизвестно;yes;no;yes;yes;yes;yes;yes
Wicked Riches Slot;WMS (Williams Interactive);Видео-слоты;30;5;1;1;2000;96.01%;yes;no;yes;yes;yes;yes;no
100 Ladies Slot;IGT (WagerWorks);Видео-слоты;100;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Beowulf Slot;Quickspin;Видео-слоты;25;5;1;10;500;Неизвестно;yes;no;yes;yes;yes;yes;yes
The Great Art Robbery;iSoftBet;Видео-слоты;25;5;1;10;2500;Неизвестно;yes;no;yes;yes;yes;no;no
Fire Joker;Play\'n GO;Видео-слоты;5;3;0;0;80;96.15%;no;no;yes;yes;yes;yes;yes
Dragon Slot;Leander Games;Видео-слоты;20;5;1;1;2500;Неизвестно;yes;no;yes;yes;yes;yes;yes
нетah's Ark;IGT (WagerWorks);Видео-слоты;30;5;1;100;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
House of Scare Slot;GamesOS/CTXM;Видео-слоты;25;5;1;1;1500;93.02%;yes;no;yes;yes;yes;no;yes
Golden Goal;Play\'n GO;Прогрессивные слоты;1;3;1;3;Прогрессивный;94.12%;no;yes;yes;no;yes;no;no
Lucky Blue Slot;BGAMING;Видео-слоты;9;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
